code,name,hex
71.112,Sand Arena IDF Blue,#c8c9c8
71.113,Azul IDF,#c9cac9
71.114,Gris Medio Medium Gray,#c8c9c8
71.115,RAL7016 Blaugrau Blue Grey,#5a6a6b
71.116,RAL7008 Graugrin,#dcdcdb
71.117,RAL8O2O Braun Camouflage,#d2d1cf
71.118,RAL7027 Grau Grey,#746b5a
71.119,White RAL9O02 Grauweiss Grey,#cacbca
71.120,Dark Ghost Gray Gris Oscuro USAF Light Gull Gray,#c8c9c8
71.121,Gris Gaviota USN,#c9cac9
71.122,US Desert Arm: 686   Dark Grey RLM42 US Cam: Moder: 686   RLM42 Dunkelgrau,#a19b8f
71.123,Unknown,#938f88
71.124,Verde USAF USAF Green,#404242
71.125,USAF Brown Marron USAF,#cacbca
71.126,IDFIIAF Verde IDFIIAF Green Gray,#cdcdcc
71.128,Gris Violeta Violet,#c9cac9
71.129,Light Rust Oxido Claro,#cacbca
71.130,Qrange Rust Oxido Anaranjado,#6f5040
71.131,Concrete Cemento,#afa8a3
71.132,Blanco Envejecido Aged White,#605c54
71.133,Dirt Suciedad,#cbccca
71.134,IJA Midouri Green IJA Verde Midouri,#353c35
71.135,IJA Chrome Yellow IJA Amarillo Crom: IJA Marron Tierra,#cbc9c3
71.136,IJA Earth Brown,#d0b592
71.137,US Light Green US Verde Claro,#cbcccb
71.138,US Sand US Arena,#c9cac9
71.139,US Field Drab US Marron Verdoso,#79705c
71.140,US Desert Sand US Arena Desierto IDF Sand IDF Gris Arena,#4f4639
71.141,Grey ~ 73 IDF Gris Sinai 82 IDF Sinai Grey,#c8c9c8
71.142,Unknown,#c9cac9
71.143,UK Light Stone UK Piedra Clara,#c8c9c8
71.244,Sand Beige Lehmbeige,#cbcccb
71.245,Loam Beige,#cbcbca
71.246,Yellow Brown Sandbraun,#c8c8c7
71.247,Light Olive Helloliv,#7b6f5b
71.248,Brown Gris Marron Grey,#4f4c3e
71.249,Lederbraun NATO Brown Bronzegrin,#4f4e48
71.250,Bronze Green,#433c37
71.251,Teerschwarz NATO Black,#c8c9c8
71.255,Light Blue RLM65 RLM65 Hellblau,#cacbca
71.256,Green RLM73 RLM73 Grin Light Blue RLM76 RLM76 Lichtblau,#343b37
71.257,Grey,#343b37
71.258,RLM74 Graugriin Green RLM74 Grey ',#c7c8c7
71.259,RLM75 Grauviolett Violet RLM,#c8c8c7
71.260,RLM63 Hellgrau Light Grey RLM,#4e5150
71.261,Unknown,#d5d5d4
71.262,Unknown,#d5d5d4
71.263,Green RLMT2 RLM72 Grin,#6c604b
71.264,RLM81 Braunviolett   RLM8O Olivgriin Brown Violet RLM81   Olive Green RLM8O,#333531
71.265,Unknown,#4c473d
71.266,Dark Blue RLM24 RLM24 Dunkelblau,#373c33
71.267,Unknown,#44655b
71.268,German Grey RAL60O6 Feldgrau,#cccccb
71.269,Red RAL3OOO Rot,#a68d8a
71.270,Off-White RAL9O01 Weiss,#7a3a34
71.271,German Red Brown RAL8O12 Rotbraun,#c7c8bc
71.272,Ger: Yellow Brown RAL8OOO Gelbbraun   Gris Oceano,#6c604b
71.273,Ocean Gray,#665943
71.274,Aggressor Gris Aggressor Gray,#5a6268
71.275,USAF Medium USAF Gris Medio Gray,#d9d9d8
71.276,Gris Claro USAF Light Gray,#c8c9c8
71.277,Dark Gull Gray Gris Gaviota Osc_ Sand Yellow RLM79   Insignia White,#cdcdcc
71.278,RLM79 Sandgelb,#cccdcc
71.279,Blanco Insignia Camouflage Gray,#a5a199
71.280,Gris Camuflaje,#aba89d
71.281,3B Russian Green 3B Verde Ruso,#565956
71.282,6K Russian Brown 6K Marron Ruso 7K Tierra Rusa,#343634
71.283,7K Russian Tan,#cacbca
71.284,UK Marron Claro UK Light Mud,#d9dad8
71.285,IJA Dark Green IJA Verde Oscuro,#dcdcdb
71.286,IJA Olive Green IJA Verde Oliva IJA Marron Caqui,#d0d0cf
71.287,IJA Khaki Brown,#cecfce
71.288,UK BSC 64 Piedra Port   US Verde Oscuro UK BSC 64 Port. Stone US Dark Green,#918d85
71.289,Unknown,#cbcbca
71.290,US Earth Brown US Tierra Marron,#d9d9d8
71.291,US Earth Yellow US Tierra Amarilla,#dcdcdb
71.292,US Loam US Marron Barro,#d6d6d5
71.293,US Earth Red US Tierra Roja,#d4d5d4
71.294,US Forest Green,#dcdcdb
71.295,USN Sea Blue USN Azul Marino,#c9cac9
71.296,USAAF Light Curtiss Grey Gray,#abab9f
71.297,JGSD Brown 3606 JGSD Marron 3606 M495 Light,#d0d0cf
71.298,M495 Gris Claro Gray,#4f4b45
71.299,Intermediate Blue Azul Intermedio Glossy Sea Blue,#dbdbda
71.300,Azul Mar Brillante,#dcdcdb
71.301,AMT-4 Cam: Green AMT-4 Cam: Verde,#dbdcdb
71.302,Sky Type $ Verde Cielo,#d2d2d1
71.303,A-24M Camo. Green A-24M Verde Cam: AMT-11 Blue Grey,#d7d7d6
71.304,AMT-11 Azul Grisaceo   Interior Gris Verde,#c8c9c8
71.305,"Interior Grey "" Green",#d8d8d7
71.306,Sky Blue Azul Cielo,#d4d8d4
71.307,BS Med: Sea BS Gris Mar ? Gedio,#d0cfce
71.308,AMT-12 Dark AMT-12 Gris Oscuro Grey,#cbcbca
71.309,Dark Slate Grey Gris Pizarra Oscuro IJN Deep Dark Green   IJN Ash Grey,#cccccb
71.310,IJN Verde Osc. Int.,#cacbca
71.311,IJN Gris Ceniza,#cccdcc
71.312,Grey,#cbcccb
71.313,Dk Mediterr Blue Azul Mediterr: Osc. Seaplane,#cbcccb
71.314,Gris Hidroavion Gray Tire Black Negro Caucho,#c9c9c8
71.315,Unknown,#d9d9d8
71.316,N 41 Verde Oliva Osc. N. 41 Dk Olive Drab,#c8c8c7
71.317,AII SV: Gol Lt Blue AII SV: Gol Azul Claro,#cbcbca
71.318,AMT-7 Greyish Blue AMT-7 Azul Grisaceo   A-28M Azul Grisaceo   AMT-1 Marron Gris,#94b7bb
71.319,A-28M Greyish Blue,#c9c9c8
71.320,AMT-A1 Lt Grey; Brown,#827d74
71.321,IJN Verde Negro,#8a9380
71.322,IJN Black Green,#8a9380
71.323,BS Dark Earth BS Tierra Oscura,#c9cac9
71.324,BS Dark Green BS Verde Oscuro IJN Verde Negro Osc,#d5d6d4
71.325,IJN Dk Black Green,#d4d4d3
71.326,IJA Grey Green IJA Gris Verdoso,#c9cac9
71.327,IAF Sand Arena IAF,#cccdcc
71.328,Light Blue Azul Claro,#a09581
71.329,Green Verde,#79969b
71.330,"Khaki Green Num. 3 Cockpit E.G""Faded""   Unders Blue ""Faded""  Russian AF Blue",#444039
71.331,Verde Inter Cabina,#444039
71.332,Azul Desgastado,#abbab5
71.333,Azul AF Ruso Flanker Light Blue,#cccdcc
71.334,Azul Claro Flanker,#a8bbbe
71.335,Gris Claro Flanker Flanker Light Gray,#c7cfcf
71.336,A-14 Steel Grey A-14 Gris Acero,#c7c8c7
71.337,Flanker Blue Azul Flanker,#cccdcb
71.338,Russ: AF Grey Blue Gris Azul AF Ruso,#79969b
71.339,Russian AF Gris N.3 AF Ruso Grey N3 Grey _,#cacac9
71.340,Gris Verdoso Green Green Verde Grisaceo,#a17f5f
71.341,Grey Russ. AF Light Blue,#c8c9c8
71.342,Azul Claro AF Ruso Russian AF Grey NJ,#cccdcc
71.343,Gris N.Z AF Ruso,#c9cac9
71.344,Rus.AF Grey Prot Coat   Russ. AF Gris AF Ruso,#cbcbca
71.345,Gris N.8 AF Ruso Grey N.,#a5b4b7
71.346,Gris N.4 AF Ruso Russian AF Grey N.4 Russ. AF Dark,#d4d5d4
71.347,Verde Osc_ AF Ruso Green,#c9cac9
71.348,USAF Tan,#cacac9
72.001,Dead White Off-White,#a46b4d
72.003,Pale Flesh,#beb494
72.004,Elf Skin Tone,#a46b4d
72.005,Moon Yellow,#ceb052
72.006,Sun Yellow,#dca63f
72.007,Gold Yellow,#e2853b
72.008,Orange Fire,#de7843
72.009,Hot Orange,#d9dad9
72.010,Bloody Red,#8c3a37
72.011,Gory Red,#34191d
72.012,Scarlet Red,#852b27
72.013,Squid Pink,#cbcbcb
72.014,Warlord Purple,#ab6483
72.015,Hexed Lichen,#3a365d
72.016,Royal Purple,#1c1422
72.019,Night Blue,#bed2c8
72.020,Imperial Blue,#1a3760
72.021,Magic Blue,#cccccc
72.022,Ultramarine Blue,#cbcbcb
72.023,Electric Blue,#cacbcb
72.024,Turquoise,#cacbca
72.025,Foul Green,#215642
72.026,Jade Green 47 Scurvy Green,#426e5e
72.027,Unknown,#d2d2d2
72.028,Dark Green,#1b271e
72.029,Sick Green,#d0d0d0
72.030,Goblin Green,#d7d8d7
72.031,Camouflage Green,#bcbab1
72.032,Scorpy Green,#c5cd4b
72.034,Bone White,#e2c491
72.035,Dead Flesh,#70633a
72.036,Bronze Brown 61 Plague Brown,#dbdcdb
72.038,Scrofulous Brown,#d7d6d4
72.039,Unknown,#774c2b
72.040,Leather Brown,#372d20
72.042,Parasite Brown,#918a84
72.043,Beasty Brown,#32271a
72.044,Dark Flesh Tone,#d0d0d0
72.045,Charred Brown,#251816
72.047,Wolf - Grey,#d7d8d7
72.048,Sombre Grey,#384448
72.049,Grey,#d3d3d3
72.050,Neutral Grey,#d3d3d3
72.051,Black,#d8d9d8
72.052,Silver 121 Chainmail,#cacecd
72.053,Unknown,#cacecd
72.054,Dark Gunmetal 123 Polished Gold,#d5d6d5
72.055,Unknown,#d5d5d4
72.056,Glorious Gold 125 Bright Bronze,#d9d6d0
72.057,126 Brassy Brass,#895a3b
72.058,127 Hammered Copper,#d5d5d5
72.059,"128 Tinny""",#634f44
72.060,Tin,#483932
72.061,Khaki,#cfcfcf
72.062,Earth,#cecfce
72.063,Desert Yellow,#cccccb
72.066,Tan,#d8d9d8
72.067,Cayman Green,#cfcfcf
72.071,Barbarian Skin,#a46b4d
72.076,Alien Purple,#5c4e72
72.082,White 109 Skin,#1d2a23
72.083,Magenta,#80272a
72.084,Dark Turquoise,#cccccc
72.085,Yellow,#281918
72.086,Red,#d58b3f
72.087,Violet,#762e3d
72.088,Blue,#dbdbda
72.089,Green,#95ab9c
72.090,Black Green 118 Sepia,#1d2a23
72.091,Unknown,#1d2a23
72.093,Unknown,#1d2a23
72.094,Black,#1f1b15
72.095,Glacier Blue n,#9db9d2
72.096,Verdigris,#0e171f
72.098,Elfic Flesh,#f8e5ac
