code,name,hex,equivalents,confidence
ATOM-20137,OCEAN GREY,#6c7b83,Ammo by Mig:MIG-0245; Tamiya:XF82; Vallejo Model Air:71273,
ATOM-20138,LIGHT GREY GREEN,#6c9597,Ammo by Mig:MIG-0259; Gunze Sangyo:H311; Mr. Color:C127; Vallejo Model Color:70883; Vallejo Model Air:71296,
ATOM-20139,NAKAJIMA INTERIOR GREEN,#a7a18e,Ammo by Mig:MIG-0269,
ATOM-20140,SKY GREEN,#a6baa5,Ammo by Mig:MIG-0243; Tamiya:XF21; Vallejo Model Air:71302,
ATOM-20141,IJN ASH GREY,#c0b895,Ammo by Mig:MIG-0262; Tamiya:XF12; Vallejo Model Air:71311,
ATOM-20142,IJA GREY GREEN,#a5a69f,Ammo by Mig:MIG-0258; Gunze Sangyo:H315; Mr. Color:C315; Mr. Color:C325; Vallejo Model Color:70986; Vallejo Model Air:71121,
ATOM-20143,DUST,#a19377,Ammo by Mig:MIG-0072; Tamiya:XF55; Vallejo Model Color:70315,
ATOM-20144,ZIMMERIT,#a5947e,Ammo by Mig:MIG-0114,
ATOM-20145,NEUTRAL GRAY,#7c7c7c,Ammo by Mig:MIG-0239; Gunze Sangyo:H53; Mr. Color:C13; Vallejo Model Air:71274,
ATOM-20146,DARK GREY,#62676f,Ammo by Mig:MIG-0235; Gunze Sangyo:H83; Tamiya:XF75; Vallejo Model Air:71308,
ATOM-20147,GRAUVIOLETT RLM 75,#908f93,Ammo by Mig:MIG-0254; Gunze Sangyo:H69; Mr. Color:C37; Vallejo Model Color:70869; Vallejo Model Air:71259; RLM:RLM-75,
ATOM-20148,SHADOW GREY,#434453,Ammo by Mig:MIG-0204; Gunze Sangyo:H305; Mr. Color:C305; Vallejo Model Color:70868; Vallejo Model Air:71047,
ATOM-20149,GREY BROWN,#a09392,Ammo by Mig:AMMOF521,
ATOM-20150,VIOLET,#543995,Ammo by Mig:MIG-0126; Gunze Sangyo:H49; Vallejo Model Color:70960,
ATOM-20151,PURPLE,#a561a3,Ammo by Mig:MIG-0127; Gunze Sangyo:H39; Mr. Color:C67; Vallejo Model Color:70959,
ATOM-20152,AMETHYST,#c158bd,,
ATOM-20153,ORCHID,#b06094,,
ATOM-20154,LIGHT PLUM,#e286e0,,
ATOM-20155,MAUVE,#9389ad,,
ATOM-20156,PUTRID FLESH,#9a8d90,,
ATOM-20157,GRAUGRUN RLM 74,#45504d,Ammo by Mig:MIG-0253; Gunze Sangyo:H68; Mr. Color:C36; Vallejo Model Color:70867; Vallejo Model Air:71258; RLM:RLM-74,
ATOM-20158,SCHWARZGRAU RLM 66,#352d32,Ammo by Mig:MIG-0218; Gunze Sangyo:H416; Mr. Color:C116; Vallejo Model Color:70866; Vallejo Model Air:71055; RLM:RLM-66,
ATOM-20159,RUBBER & TIRES,#46383f,Ammo by Mig:MIG-0033; Gunze Sangyo:477; Mr. Color:C137; Vallejo Model Color:70306; Vallejo Model Air:71315,
ATOM-20160,DUNKELGRAU RAL7021,#342e39,Ammo by Mig:MIG-0008; Gunze Sangyo:H401; Mr. Color:C301; Mr. Color:C339; Vallejo Model Color:70862; Vallejo Model Air:71056,
ATOM-20161,NATO BLACK,#2f2a2b,Ammo by Mig:MIG-0278,
ATOM-20162,SATIN BLACK,#161616,Ammo by Mig:MIG-0032; Gunze Sangyo:H2; Mr. Color:C2; Mr. Color:C92; Vallejo Model Color:70861,
ATOM-20163,MATT BLACK,#151515,Ammo by Mig:AMMOF502; Gunze Sangyo:#12; Mr. Color:C33; Vallejo Model Color:70950; Vallejo Model Air:71057,
ATOM-20164,SILVER,#acafab,Tamiya:XF16; Vallejo Model Air:71062,
ATOM-20165,ALUMINUM,#d1d1d1,,
ATOM-20166,STEEL,#adadad,Gunze Sangyo:H8; Mr. Color:C8; Mr. Color:C90; Vallejo Model Color:70997; Vallejo Model Air:71063,
ATOM-20167,GUN METAL,#696969,Gunze Sangyo:H18; Mr. Color:C28; Vallejo Model Color:70864; Vallejo Model Air:71065,
ATOM-20168,METALLIC BLACK,#050505,Vallejo Model Color:70863; Vallejo Model Air:71072,
ATOM-20169,BURNT IRON,#3a2a21,Gunze Sangyo:476; Tamiya:XF84; Vallejo Model Air:71073,
ATOM-20170,COPPER,#ba4c1e,Gunze Sangyo:410; Mr. Color:C10; Vallejo Model Color:70999; Vallejo Model Air:71068,
ATOM-20171,GOLD PINK,#f9b566,Ammo by Mig:MIG-0197; Vallejo Model Color:70996; Vallejo Model Air:71066,
ATOM-20172,GOLD,#ab8b46,Gunze Sangyo:H9; Mr. Color:C9; Vallejo Model Color:70801,
ATOM-20173,BRASS,#b49770,Vallejo Model Air:71070,
ATOM-20174,METALLIC RED,#d43c22,Gunze Sangyo:H87; Mr. Color:C75; Vallejo Model Air:71417,
ATOM-20175,AOTAKE GREEN,#558f69,Vallejo Model Air:71419,
ATOM-20176,AOTAKE BLUE,#3d7cca,Gunze Sangyo:H63; Mr. Color:C57,
ATOM-20177,WASHABLE WHITE,#ffffff,Ammo by Mig:MIG-0024,
ATOM-20178,WASHABLE DUST,#ad8d59,Ammo by Mig:MIG-0105,
ATOM-20179,WASHABLE SAND,#e3b67d,Ammo by Mig:MIG-0106,
ATOM-20500,THINNER AND   CLEANER,#ffffff,,
