image,raw_reference,reference,name,definition,equivalents,hex,confidence
03 ammo.png,A.MIG-0116,MIG-0116,BASIC SKIN TONE,,HOBBY COLOR:FS31670; MODEL COLOR:70.928,#8c8b8b,0.9066342955354658
03 ammo.png,A.MIG-0117,MIG-0117,WARM SKIN TONE,,MODEL COLOR:70.815,#ecbc2b,0.9041523134829693
03 ammo.png,A.MIG-0118,MIG-0118,BURNT SAND,,,#836749,0.7982697142038759
03 ammo.png,AMIG-0119,MIG-0119,COLD GRAY,,HOBBY COLOR:FS17865; MODEL COLOR:70.993; MODEL AIR:71.279,#ebbf29,0.793385404494725
03 ammo.png,A.MIG-0120,MIG-0120,LIGHT BROWN-GRAY,,,#dfdfde,0.775983582977249
03 ammo.png,A.MIG-0121,MIG-0121,BLOOD RED,,HOBBY COLOR:FSI1136RAL 3002; MR.COLOR:C327; MODEL COLOR:70.908; MODEL AIR:71.084,#b3b2b1,0.8211672627628939
03 ammo.png,AMIG-0122,MIG-0122,BONE,,MODEL COLOR:70.847; MODEL AIR:71.288,#949494,0.8858280846803659
03 ammo.png,AMIG-0123,MIG-0123,MARINE BLUE,,TAMIYA:XF8; MODEL COLOR:70.930; MODEL AIR:71.004,#ebbe28,0.8908087042943987
03 ammo.png,A.MIG-0124,MIG-0124,LIME GREEN,,MODEL AIR:71.094,#eaeded,0.8920375959542528
03 ammo.png,A.MIG-0125,MIG-0125,GOLD YELLOW,,HOBBY COLOR:FS33655RAL 1003RLM 04; MR.COLOR:C113; MODEL COLOR:70.953; MODEL AIR:71.078,#cf9f25,0.8955866957620541
03 ammo.png,A.MIG-0126,MIG-0126,VIOLET,,HOBBY COLOR:H49; MODEL COLOR:70.960,#ecc234,0.8267237128837679
03 ammo.png,A.MIG-0127,MIG-0127,PURPLE,,HOBBY COLOR:FS37142RAL 4008; MR.COLOR:C67; MODEL COLOR:70.959,#e3bf2c,0.9422239885343666
03 ammo.png,A.MIG-0128,MIG-0128,CYAN,,,#eabf2c,0.9882341386151849
03 ammo.png,A.MIG-0129,MIG-0129,ORANGE,,HOBBY COLOR:FS32246; MR.COLOR:C59; MODEL COLOR:70.956; MODEL AIR:71.083,#db8031,0.9685904865858688
03 ammo.png,AMIG-0130,MIG-0130,FADED YELLOW,,HOBBY COLOR:H318; MR.COLOR:C318,#ebbf2b,0.8937694973027386
03 ammo.png,AMIG-0131,MIG-0131,REAL IDF SINAI GREY 82,,MODEL AIR:71.142,#595332,0.7867125935783406
03 ammo.png,AMIG-0132,MIG-0132,REAL IDF SAND GREY 73,,HOBBY COLOR:H85; MR.COLOR:C45; MODEL AIR:71.141,#d7bf30,0.8228814962443571
03 ammo.png,AMIG-0133,MIG-0133,RED LEATHER,,MODEL COLOR:70.301; MODEL AIR:71.105,#e6c137,0.727240725895424
03 ammo.png,A.MIG-0134,MIG-0134,BURNT BROWN RED,,MODEL COLOR:70.984; MODEL AIR:71.036,#2e210a,0.7427338750900795
03 ammo.png,AMIG-0135,MIG-0135,CINNAMON,,MODEL AIR:71.112,#ebbe35,0.9251571571278215
03 ammo.png,A.MIG-0138,MIG-0138,DESERT YELLOW,,HOBBY COLOR:FS20400; MODEL COLOR:70.912; MODEL AIR:71.291,#ebbe29,0.8865730794144966
03 ammo.png,A.MIG-0139,MIG-0139,RED EARTH,,HOBBY COLOR:H463; MODEL AIR:71.293,#edc335,0.8180035648783133
03 ammo.png,A.MIG-0187,MIG-0187,JET EXHAUST BURNT IRON,,HOBBY COLOR:H76; MR.COLOR:C61; TAMIYA:XF84; MODEL AIR:71.073,#5a3f2b,0.8575878891904916
03 ammo.png,AMIG-0188,MIG-0188,METALLIC RED,,HOBBY COLOR:H87; MR.COLOR:C75; MODEL AIR:71.070,#ce8c7f,0.891549839123146
03 ammo.png,A.MIG-0189,MIG-0189,METALLIC ORANGE,,,#d29555,0.9287659170307836
03 ammo.png,AMIG-0190,MIG-0190,OLD BRASS,,MODEL COLOR:70.801,#6a4921,0.9907250528069831
03 ammo.png,AMIG-0191,MIG-0191,STEEL,,HOBBY COLOR:RAL 9006; MR.COLOR:C28; MODEL COLOR:70.864; MODEL AIR:71.065,#8d8880,0.9274483912075923
03 ammo.png,AMIG-0192,MIG-0192,POLISHED METAL,,TAMIYA:XF56; MODEL COLOR:70.865,#504d46,0.9990058724560956
03 ammo.png,AMIG-0193,MIG-0193,BLUISH TITANIUM,,,#45504e,0.7928819966822164
03 ammo.png,AMIG-0194,MIG-0194,MATT ALUMINUM,,TAMIYA:XF16; MODEL AIR:71.062,#8b8982,0.894011613325767
03 ammo.png,A.MIG-0195,MIG-0195,SILVER,,HOBBY COLOR:FS 17178RLM 01; MR.COLOR:C8 / C90; MODEL COLOR:70.997; MODEL AIR:71.063,#86847c,0.7902175857543879
04 ammo.png,,,,,HOBBY COLOR:RAL/RLWFS,#8da4b1,0.6019010204759685
04 ammo.png,AMIG-0196,MIG-0196,WARHEAD METALLIC BLUE,,HOBBY COLOR:H88; MR.COLOR:C76,#003a76,0.9197162954207065
04 ammo.png,AMIG-0197,MIG-0197,BRASS,,MODEL AIR:71.067,#b18544,0.9534540055081072
04 ammo.png,AMIG-0198,MIG-0198,GOLD,,HOBBY COLOR:FS 17043; MR.COLOR:C9; MODEL COLOR:70.996; MODEL AIR:71.066,#cdcccc,0.92688923187814
04 ammo.png,AMIG-019g,MIG-0199,COPPER,,HOBBY COLOR:H10; MR.COLOR:C10; TAMIYA:XF6; MODEL COLOR:70.999; MODEL AIR:71.068,#833326,0.8237058073199752
04 ammo.png,AMIG-0200,MIG-0200,MIDDLESTONE,,HOBBY COLOR:FS 33531; MR.COLOR:C313,#dadad9,0.9193693684197886
04 ammo.png,A.MIG-0201,MIG-0201,LIGHT GRAY GREEN,,HOBBY COLOR:FS 34424; MODEL COLOR:70.885,#d8d9d0,0.9008848593269944
04 ammo.png,AMIG-0202,MIG-0202,TAN,,HOBBY COLOR:FS 30219; MR.COLOR:C310; TAMIYA:XF59; MODEL COLOR:70.843; MODEL AIR:71.125,#f56832,0.8800032423890085
04 ammo.png,A.MIG-0203,MIG-0203,LIGHT COMPASS GHOST GRAY,,HOBBY COLOR:FS 36375RALZOOI; MR.COLOR:C308; MODEL COLOR:70.990,#cad1d1,0.8390081379903065
04 ammo.png,A.MIG-0204,MIG-0204,MEDIUM GUNSHIP GRAY,,HOBBY COLOR:FS 36118; MR.COLOR:C305; TAMIYA:XF77; MODEL COLOR:70.868; MODEL AIR:71.047,#c0bfbe,0.8934437391383656
04 ammo.png,A.MIG-0205,MIG-0205,(BS 638),,HOBBY COLOR:FS 26231; MR.COLOR:C317 /C331; MODEL COLOR:70.991; MODEL AIR:71.051,#6f7d81,0.8725405118474789
04 ammo.png,A.MIG-0206,MIG-0206,(BS 641),,HOBBY COLOR:FS 34079RLM 81; MR.COLOR:C309; MODEL COLOR:70.893; MODEL AIR:71.294,#bfbebd,0.798460380724997
04 ammo.png,AMIG-0207,MIG-0207,(BS 626),,HOBBY COLOR:FS 36314; MR.COLOR:C334; TAMIYA:XF19; MODEL COLOR:70.989; MODEL AIR:71.046,#939795,0.867600244541856
04 ammo.png,AMIG-0208,MIG-0208,DARK COMPASS GHOST GRAY,,HOBBY COLOR:FS 36320; MR.COLOR:C307; MODEL AIR:71.120,#c8c7c7,0.8366784338147509
04 ammo.png,AMIG-0209,MIG-0209,LIGHT GRAY,,HOBBY COLOR:H51 /H338; MR.COLOR:C11 /C338; MODEL AIR:71.276,#c7c8c7,0.8778009060973544
04 ammo.png,AMIG-0210,MIG-0210,BLUE GRAY AMT-11,,HOBBY COLOR:FS 35237; MR.COLOR:C337; MODEL COLOR:70.905; MODEL AIR:71.304,#d8d7d7,0.8946457075381994
04 ammo.png,A.MIG-0211,MIG-0211,MEDIUM GRAY,,HOBBY COLOR:FS 36270; MR.COLOR:C306; MODEL AIR:71.275,#838a8f,0.8529820277835607
04 ammo.png,A.MIG-0212,MIG-0212,SILVER GREY,,HOBBY COLOR:FS 26373BS 627; MR.COLOR:C332; MODEL AIR:71.119,#c0c5c5,0.9033397148616233
04 ammo.png,AMIG-0213,MIG-0213,GREEN,,HOBBY COLOR:FS 24277; MODEL AIR:71.305,#819288,0.8868396725036539
